Date,Open
15,1164
16,1180
17,1190
18,1195
19,1193
20,1194
21,1182
22,1157
23,1181
24,1162
25,1181
26,1199
27,1177
28,1177
29,1192
6,1208
7,1204
8,1195
9,1203
10,1224
11,1231
